Project_Type,Hours_Estimated,Team_Size,Company_Size,Experience_Required,Project_Cost
Data Science,241,3,Mid-Market,Junior,8815.21
Web Development,225,3,Enterprise,Mid-Level,14399.69
UI/UX Design,474,5,Enterprise,Mid-Level,23195.66
SEO,292,3,Mid-Market,Senior,20794.55
UI/UX Design,401,3,Enterprise,Mid-Level,22346.41
SEO,255,4,Mid-Market,Junior,6306.01
SEO,359,2,Enterprise,Senior,33431.0
Data Science,247,4,Startup,Mid-Level,16982.47
SEO,28,4,Startup,Mid-Level,2833.58
UI/UX Design,185,1,Enterprise,Junior,4376.03
SEO,451,4,Startup,Junior,6532.04
Data Science,463,5,Mid-Market,Senior,53477.97
Data Science,338,5,Startup,Mid-Level,23185.88
UI/UX Design,233,1,Enterprise,Junior,6946.4
Mobile App,136,2,Enterprise,Senior,17569.02
Mobile App,405,2,Mid-Market,Mid-Level,19674.88
SEO,363,4,Enterprise,Mid-Level,17886.85
Web Development,91,4,Mid-Market,Senior,10108.32
SEO,414,4,Startup,Senior,21944.04
UI/UX Design,83,2,Startup,Junior,2265.61
UI/UX Design,224,3,Mid-Market,Mid-Level,10724.92
UI/UX Design,228,5,Mid-Market,Mid-Level,12389.62
UI/UX Design,91,3,Enterprise,Mid-Level,7162.19
UI/UX Design,296,3,Startup,Senior,19555.15
Data Science,293,2,Mid-Market,Junior,9919.14
Mobile App,497,3,Startup,Mid-Level,27110.7
UI/UX Design,339,1,Mid-Market,Senior,25761.19
Web Development,357,4,Startup,Mid-Level,13832.9
Web Development,385,1,Enterprise,Junior,11198.15
Web Development,114,5,Startup,Mid-Level,6787.64
Web Development,185,4,Startup,Junior,4868.86
Data Science,51,3,Startup,Junior,2660.65
Web Development,30,5,Startup,Mid-Level,3547.79
UI/UX Design,320,4,Startup,Mid-Level,11816.54
SEO,236,3,Enterprise,Junior,6278.34
Web Development,308,1,Mid-Market,Senior,23063.35
Data Science,121,4,Startup,Junior,5016.14
Data Science,444,3,Enterprise,Mid-Level,41673.47
Web Development,411,1,Startup,Mid-Level,15806.76
SEO,286,5,Startup,Senior,17051.87
Web Development,233,5,Mid-Market,Junior,7077.21
Data Science,198,5,Startup,Junior,7937.24
Mobile App,107,5,Enterprise,Junior,5860.9
UI/UX Design,60,2,Enterprise,Mid-Level,4558.22
Data Science,420,4,Mid-Market,Junior,13344.52
Web Development,95,4,Startup,Senior,8438.22
UI/UX Design,396,2,Enterprise,Mid-Level,20317.59
Web Development,65,3,Startup,Mid-Level,3709.86
Web Development,179,3,Startup,Junior,4246.03
Mobile App,482,5,Startup,Senior,37760.75
UI/UX Design,99,1,Mid-Market,Mid-Level,4321.21
UI/UX Design,329,3,Startup,Mid-Level,13457.17
Mobile App,105,1,Enterprise,Junior,3790.88
Data Science,111,4,Startup,Junior,4723.95
Web Development,167,1,Enterprise,Senior,17074.0
SEO,180,4,Startup,Junior,4501.44
Web Development,221,2,Enterprise,Senior,24800.06
Web Development,443,2,Enterprise,Mid-Level,26114.9
Data Science,435,5,Startup,Senior,37644.03
Web Development,261,3,Startup,Senior,18565.3
Mobile App,372,5,Enterprise,Senior,51598.23
Mobile App,21,4,Mid-Market,Mid-Level,3023.0
UI/UX Design,244,5,Startup,Junior,5909.81
SEO,308,1,Mid-Market,Mid-Level,12183.6
Web Development,252,4,Startup,Junior,5398.6
Web Development,480,2,Startup,Senior,29726.73
Data Science,433,3,Startup,Senior,44634.74
Mobile App,436,4,Startup,Senior,39184.93
SEO,96,4,Mid-Market,Senior,9486.94
UI/UX Design,135,1,Startup,Senior,9799.05
Mobile App,173,3,Enterprise,Junior,6975.2
UI/UX Design,425,2,Enterprise,Junior,10463.44
Data Science,122,4,Mid-Market,Senior,17991.45
Data Science,213,4,Startup,Mid-Level,12876.76
Web Development,185,1,Enterprise,Mid-Level,10497.72
SEO,378,5,Mid-Market,Senior,25953.5
UI/UX Design,109,2,Startup,Junior,2502.0
Mobile App,193,3,Enterprise,Mid-Level,15607.66
Data Science,141,4,Enterprise,Mid-Level,13627.41
Web Development,162,4,Mid-Market,Mid-Level,9352.05
Web Development,125,2,Startup,Senior,10275.96
UI/UX Design,394,5,Startup,Mid-Level,15421.52
Data Science,447,4,Enterprise,Mid-Level,47173.56
SEO,324,2,Enterprise,Mid-Level,17985.9
Data Science,379,1,Enterprise,Mid-Level,35726.21
UI/UX Design,478,5,Startup,Junior,9139.43
UI/UX Design,336,3,Mid-Market,Senior,28209.2
Data Science,470,4,Mid-Market,Senior,56990.14
UI/UX Design,142,2,Startup,Junior,3044.39
Data Science,409,1,Mid-Market,Junior,13175.15
Mobile App,28,3,Enterprise,Senior,4992.52
Data Science,281,2,Mid-Market,Mid-Level,18601.33
Data Science,92,2,Mid-Market,Mid-Level,6261.67
UI/UX Design,378,3,Mid-Market,Senior,31326.38
UI/UX Design,242,1,Enterprise,Mid-Level,13967.99
Web Development,435,1,Startup,Junior,6262.45
Web Development,60,5,Enterprise,Mid-Level,5747.88
Mobile App,389,4,Startup,Mid-Level,19105.72
Web Development,223,3,Startup,Mid-Level,9883.3
Data Science,283,3,Startup,Senior,24542.67
UI/UX Design,347,3,Mid-Market,Junior,7690.26
Web Development,197,1,Mid-Market,Mid-Level,9843.4
Web Development,367,4,Startup,Senior,24662.37
Mobile App,337,5,Startup,Mid-Level,17430.85
Mobile App,103,2,Mid-Market,Junior,3351.48
Data Science,337,2,Enterprise,Mid-Level,33260.4
UI/UX Design,130,3,Startup,Junior,3222.37
Mobile App,270,4,Enterprise,Mid-Level,18789.3
Web Development,402,1,Mid-Market,Junior,8563.26
UI/UX Design,26,4,Startup,Mid-Level,2721.64
UI/UX Design,478,4,Enterprise,Junior,10830.59
Web Development,103,1,Enterprise,Mid-Level,7178.5
Mobile App,227,3,Enterprise,Mid-Level,15867.0
Web Development,407,4,Mid-Market,Senior,30217.63
UI/UX Design,409,2,Mid-Market,Senior,28057.53
SEO,333,1,Enterprise,Junior,6833.05
SEO,41,5,Enterprise,Mid-Level,4391.53
Data Science,429,3,Mid-Market,Junior,12962.68
Web Development,402,1,Enterprise,Senior,44390.82
Web Development,22,5,Enterprise,Junior,3108.96
Data Science,146,5,Mid-Market,Junior,6321.55
Data Science,316,4,Enterprise,Senior,48249.03
Data Science,207,4,Enterprise,Mid-Level,19214.16
UI/UX Design,381,4,Enterprise,Junior,10768.29
Web Development,33,1,Mid-Market,Senior,3425.83
UI/UX Design,478,1,Enterprise,Mid-Level,28536.49
Data Science,485,3,Mid-Market,Senior,74243.41
Web Development,31,4,Mid-Market,Junior,2479.3
UI/UX Design,106,5,Startup,Mid-Level,5616.96
UI/UX Design,31,2,Startup,Mid-Level,2186.6
Data Science,416,3,Enterprise,Senior,54710.18
Web Development,44,1,Mid-Market,Senior,4650.53
Data Science,320,3,Startup,Senior,32672.66
Web Development,262,3,Enterprise,Mid-Level,17109.22
SEO,141,3,Startup,Mid-Level,5041.1
Mobile App,166,3,Startup,Junior,4543.41
Mobile App,74,2,Mid-Market,Mid-Level,5694.25
Mobile App,257,4,Mid-Market,Junior,8138.59
Data Science,375,5,Startup,Senior,36899.8
SEO,192,3,Startup,Senior,11729.24
Web Development,411,3,Mid-Market,Mid-Level,19639.49
UI/UX Design,240,3,Enterprise,Senior,24739.35
Web Development,138,4,Mid-Market,Senior,12101.89
UI/UX Design,328,1,Startup,Mid-Level,11045.21
Web Development,202,1,Enterprise,Junior,5415.31
SEO,307,2,Startup,Mid-Level,8246.6
UI/UX Design,326,1,Enterprise,Junior,8496.06
Data Science,319,3,Startup,Mid-Level,16600.7
Web Development,101,3,Enterprise,Mid-Level,7311.16
Web Development,473,3,Enterprise,Senior,55247.51
UI/UX Design,421,2,Startup,Mid-Level,12597.32
Data Science,230,3,Enterprise,Mid-Level,22902.9
Data Science,169,1,Mid-Market,Junior,5417.99
SEO,56,4,Startup,Senior,4590.08
Data Science,371,4,Mid-Market,Junior,15381.51
Data Science,331,5,Startup,Junior,10443.56
Data Science,380,1,Enterprise,Senior,56412.35
Mobile App,78,3,Enterprise,Senior,10474.91
SEO,150,4,Enterprise,Senior,15579.69
Web Development,431,1,Startup,Mid-Level,15066.33
UI/UX Design,221,4,Mid-Market,Senior,19115.77
Web Development,262,3,Mid-Market,Senior,22454.8
SEO,54,4,Startup,Senior,5073.4
UI/UX Design,464,5,Startup,Junior,8485.02
SEO,112,5,Mid-Market,Junior,4130.17
Data Science,457,4,Mid-Market,Mid-Level,31980.67
UI/UX Design,466,1,Mid-Market,Junior,8721.86
Data Science,226,1,Mid-Market,Mid-Level,15214.12
Web Development,372,1,Startup,Junior,8018.23
Web Development,410,4,Startup,Senior,33653.96
UI/UX Design,351,1,Enterprise,Junior,8959.03
UI/UX Design,324,3,Mid-Market,Mid-Level,15169.15
SEO,369,5,Enterprise,Junior,9993.73
SEO,232,3,Startup,Senior,12131.38
Data Science,178,1,Startup,Mid-Level,9936.99
UI/UX Design,461,3,Enterprise,Senior,47976.94
Web Development,464,1,Mid-Market,Senior,42466.49
SEO,43,4,Mid-Market,Mid-Level,3702.14
SEO,423,3,Mid-Market,Senior,24484.74
Web Development,312,4,Mid-Market,Senior,26238.09
SEO,23,4,Enterprise,Junior,2408.13
Data Science,239,2,Enterprise,Senior,42641.92
UI/UX Design,383,1,Startup,Senior,21651.05
Web Development,401,5,Mid-Market,Senior,34428.87
UI/UX Design,39,1,Mid-Market,Senior,3442.8
SEO,463,5,Mid-Market,Mid-Level,23778.6
SEO,171,1,Enterprise,Junior,4152.22
Web Development,69,4,Mid-Market,Senior,7388.47
Data Science,196,3,Enterprise,Senior,28281.39
Mobile App,454,3,Mid-Market,Mid-Level,29592.0
Web Development,115,2,Mid-Market,Senior,10032.89
Mobile App,124,5,Startup,Mid-Level,8744.5
Mobile App,439,5,Mid-Market,Junior,14200.87
Data Science,269,5,Mid-Market,Junior,10196.39
Mobile App,136,4,Startup,Senior,10990.6
Mobile App,373,5,Enterprise,Senior,50319.22
Data Science,247,3,Enterprise,Senior,37662.65
Mobile App,85,4,Mid-Market,Mid-Level,6608.06
Mobile App,354,1,Enterprise,Senior,49313.82
Mobile App,437,5,Mid-Market,Senior,37514.89
Web Development,439,5,Startup,Junior,9709.86
Web Development,281,1,Startup,Senior,19850.06
Web Development,314,5,Mid-Market,Junior,9287.49
Data Science,445,1,Startup,Senior,37394.95
SEO,262,4,Startup,Junior,5494.23
Mobile App,390,3,Mid-Market,Senior,43446.04
Mobile App,205,1,Mid-Market,Junior,5588.87
Data Science,265,2,Startup,Mid-Level,15144.44
Mobile App,144,1,Enterprise,Junior,5504.81
Web Development,287,5,Enterprise,Junior,9443.9
SEO,150,4,Mid-Market,Junior,4032.84
UI/UX Design,256,4,Mid-Market,Senior,20062.26
Mobile App,37,1,Enterprise,Senior,5364.66
Web Development,59,3,Startup,Senior,5668.3
UI/UX Design,40,2,Enterprise,Mid-Level,3217.72
SEO,418,4,Enterprise,Mid-Level,23197.47
UI/UX Design,244,5,Enterprise,Junior,8806.43
Web Development,374,5,Enterprise,Mid-Level,23636.48
UI/UX Design,301,3,Mid-Market,Junior,6837.85
Data Science,27,4,Mid-Market,Junior,2914.26
UI/UX Design,119,1,Startup,Junior,2006.23
Mobile App,259,5,Startup,Mid-Level,14168.95
Mobile App,497,3,Startup,Senior,36933.95
Data Science,106,4,Startup,Mid-Level,8353.79
Web Development,317,4,Enterprise,Junior,10227.22
Mobile App,447,4,Mid-Market,Junior,12736.15
SEO,33,4,Mid-Market,Mid-Level,3393.39
Mobile App,353,4,Startup,Junior,8048.3
Mobile App,21,5,Startup,Junior,2911.9
Web Development,394,3,Enterprise,Mid-Level,24133.83
UI/UX Design,312,4,Enterprise,Mid-Level,19301.38
Mobile App,344,2,Startup,Mid-Level,18727.94
Data Science,441,2,Mid-Market,Junior,13429.27
UI/UX Design,60,3,Mid-Market,Junior,2450.68
SEO,337,1,Mid-Market,Senior,20322.44
Web Development,335,1,Startup,Senior,21440.84
SEO,400,1,Mid-Market,Mid-Level,14992.49
UI/UX Design,130,2,Enterprise,Senior,13307.36
UI/UX Design,33,1,Enterprise,Junior,1411.4
UI/UX Design,250,5,Startup,Senior,19239.77
SEO,492,4,Enterprise,Junior,13566.98
UI/UX Design,103,2,Startup,Mid-Level,5176.32
SEO,149,3,Mid-Market,Mid-Level,7306.05
UI/UX Design,250,3,Mid-Market,Junior,6498.76
Data Science,345,4,Mid-Market,Senior,46731.75
UI/UX Design,164,2,Enterprise,Mid-Level,10188.0
SEO,398,1,Startup,Mid-Level,12414.47
Mobile App,364,1,Mid-Market,Senior,34057.22
UI/UX Design,47,5,Startup,Senior,4869.67
Mobile App,85,5,Mid-Market,Junior,4513.35
Data Science,182,1,Enterprise,Senior,30498.34
Web Development,248,3,Enterprise,Senior,27478.38
Data Science,280,3,Startup,Senior,25516.38
UI/UX Design,468,5,Enterprise,Junior,13269.54
Mobile App,443,4,Enterprise,Junior,15520.29
Mobile App,479,1,Startup,Mid-Level,21063.77
SEO,459,5,Mid-Market,Junior,10204.53
Mobile App,183,5,Enterprise,Mid-Level,16253.9
SEO,320,1,Startup,Senior,16064.72
Web Development,426,1,Enterprise,Mid-Level,27866.05
UI/UX Design,322,3,Enterprise,Mid-Level,20371.8
SEO,306,4,Enterprise,Senior,28274.66
Web Development,414,4,Enterprise,Mid-Level,27828.96
Mobile App,29,1,Startup,Junior,1111.6
Mobile App,214,2,Startup,Junior,4657.8
Web Development,137,5,Startup,Junior,4923.2
Mobile App,289,5,Enterprise,Junior,10804.42
Web Development,99,1,Enterprise,Mid-Level,5890.32
SEO,477,2,Enterprise,Mid-Level,23761.79
SEO,112,3,Startup,Senior,6004.92
Web Development,285,1,Enterprise,Mid-Level,17465.3
SEO,351,1,Mid-Market,Mid-Level,14376.58
SEO,369,5,Enterprise,Mid-Level,16926.82
SEO,380,1,Mid-Market,Senior,27468.47
Data Science,276,1,Enterprise,Junior,10511.83
UI/UX Design,152,1,Startup,Mid-Level,5526.68
Mobile App,295,5,Enterprise,Senior,37277.96
Data Science,283,3,Mid-Market,Senior,37405.63
SEO,190,3,Mid-Market,Senior,14906.34
Web Development,479,1,Enterprise,Junior,13759.79
SEO,20,5,Mid-Market,Mid-Level,3219.71
UI/UX Design,332,3,Mid-Market,Senior,24266.52
SEO,83,3,Startup,Junior,2555.04
Web Development,393,3,Enterprise,Senior,45053.09
UI/UX Design,487,5,Enterprise,Senior,51229.66
SEO,303,5,Enterprise,Senior,29098.21
UI/UX Design,140,1,Mid-Market,Senior,9287.16
Mobile App,126,4,Enterprise,Senior,17688.6
Mobile App,440,3,Enterprise,Junior,14358.43
SEO,194,4,Startup,Mid-Level,7958.71
UI/UX Design,223,5,Startup,Mid-Level,9172.49
Web Development,184,5,Startup,Mid-Level,9423.44
SEO,324,5,Mid-Market,Mid-Level,13834.86
Mobile App,139,4,Enterprise,Junior,5521.87
Mobile App,63,5,Startup,Junior,3822.21
SEO,331,1,Startup,Junior,4726.09
UI/UX Design,175,5,Startup,Senior,13866.19
Mobile App,386,2,Enterprise,Senior,41150.54
UI/UX Design,226,4,Enterprise,Senior,22536.93
Mobile App,409,2,Enterprise,Mid-Level,29090.46
Mobile App,127,5,Mid-Market,Senior,15021.44
Data Science,270,1,Mid-Market,Mid-Level,16309.85
Mobile App,464,3,Startup,Senior,39073.89
Web Development,423,5,Enterprise,Mid-Level,31976.0
SEO,389,1,Startup,Senior,21361.93
SEO,353,4,Enterprise,Senior,31642.36
UI/UX Design,149,2,Enterprise,Junior,4006.34
Mobile App,476,2,Enterprise,Senior,55805.41
Web Development,312,2,Mid-Market,Senior,25820.61
UI/UX Design,39,4,Mid-Market,Junior,2664.81
Data Science,301,1,Enterprise,Mid-Level,29623.38
UI/UX Design,304,4,Startup,Junior,6611.23
UI/UX Design,20,2,Enterprise,Junior,1594.0
Mobile App,138,5,Enterprise,Mid-Level,11237.38
Data Science,54,3,Startup,Senior,6701.17
UI/UX Design,217,4,Enterprise,Mid-Level,11844.4
Web Development,264,4,Startup,Senior,15140.96
Web Development,78,1,Mid-Market,Senior,7190.98
SEO,344,1,Mid-Market,Mid-Level,13499.01
Data Science,180,4,Startup,Junior,5950.82
Data Science,198,2,Mid-Market,Mid-Level,14489.33
SEO,225,3,Mid-Market,Senior,14993.85
UI/UX Design,31,1,Startup,Mid-Level,1454.76
Data Science,295,2,Mid-Market,Mid-Level,20274.73
Web Development,200,5,Enterprise,Senior,21435.14
Web Development,261,1,Enterprise,Junior,6799.68
Mobile App,235,2,Startup,Mid-Level,10453.1
Data Science,270,2,Mid-Market,Senior,34770.13
UI/UX Design,318,3,Enterprise,Senior,23007.39
SEO,145,3,Enterprise,Mid-Level,8131.53
SEO,236,5,Mid-Market,Junior,5865.29
UI/UX Design,325,2,Mid-Market,Mid-Level,12778.39
Mobile App,304,2,Enterprise,Junior,9986.23
SEO,204,3,Enterprise,Junior,5737.12
Data Science,58,1,Startup,Junior,1862.15
Mobile App,242,1,Startup,Junior,4651.99
Data Science,203,4,Enterprise,Mid-Level,21098.83
Web Development,446,3,Startup,Senior,27467.61
Mobile App,197,4,Enterprise,Senior,24779.28
SEO,426,3,Enterprise,Senior,37951.53
Mobile App,447,5,Startup,Senior,37929.41
Mobile App,313,2,Startup,Senior,23567.97
Mobile App,359,5,Mid-Market,Senior,26844.81
Mobile App,170,3,Mid-Market,Mid-Level,9867.12
Data Science,403,2,Mid-Market,Junior,13285.72
Web Development,145,1,Enterprise,Senior,16618.42
UI/UX Design,320,1,Startup,Mid-Level,10785.79
Mobile App,327,4,Enterprise,Senior,40854.88
SEO,355,3,Startup,Senior,23844.14
Mobile App,453,3,Enterprise,Junior,15107.14
SEO,253,1,Mid-Market,Junior,4795.83
Data Science,399,5,Mid-Market,Junior,12871.94
SEO,394,2,Mid-Market,Senior,23467.03
UI/UX Design,27,5,Enterprise,Senior,5190.79
Web Development,360,5,Startup,Senior,27946.67
SEO,148,1,Startup,Junior,2320.57
SEO,283,1,Mid-Market,Mid-Level,8804.61
Web Development,176,1,Mid-Market,Senior,14344.08
UI/UX Design,371,4,Mid-Market,Senior,29217.94
Mobile App,377,5,Mid-Market,Senior,39049.64
SEO,24,3,Startup,Mid-Level,2152.26
Web Development,105,2,Enterprise,Senior,11753.05
Data Science,194,4,Enterprise,Mid-Level,17747.12
Web Development,309,3,Enterprise,Senior,30063.0
Data Science,212,5,Enterprise,Mid-Level,22508.77
UI/UX Design,330,1,Mid-Market,Senior,24492.37
Mobile App,138,5,Mid-Market,Junior,5762.09
Web Development,237,2,Mid-Market,Junior,5499.61
SEO,446,4,Enterprise,Junior,11109.66
UI/UX Design,477,4,Mid-Market,Junior,10723.65
Web Development,433,2,Mid-Market,Senior,41628.15
SEO,133,3,Startup,Junior,3313.83
Web Development,485,3,Startup,Mid-Level,17796.62
Data Science,164,4,Mid-Market,Junior,6597.36
Web Development,45,4,Startup,Junior,2661.56
Web Development,155,1,Startup,Junior,2930.27
Web Development,322,3,Mid-Market,Senior,25167.13
UI/UX Design,251,2,Mid-Market,Junior,5732.53
Web Development,388,3,Mid-Market,Mid-Level,14344.42
SEO,95,1,Mid-Market,Junior,2101.35
Data Science,494,4,Enterprise,Junior,21796.54
Data Science,347,4,Enterprise,Junior,17241.87
Web Development,364,1,Mid-Market,Mid-Level,18316.18
UI/UX Design,321,2,Startup,Junior,5306.37
UI/UX Design,471,4,Mid-Market,Mid-Level,22533.44
SEO,308,5,Mid-Market,Mid-Level,13401.65
Web Development,20,4,Startup,Junior,2258.1
Data Science,166,5,Enterprise,Mid-Level,17297.86
UI/UX Design,306,1,Mid-Market,Senior,21156.64
Web Development,483,1,Mid-Market,Junior,10160.21
UI/UX Design,161,4,Enterprise,Junior,6389.57
UI/UX Design,72,3,Enterprise,Mid-Level,5376.01
Data Science,323,5,Startup,Mid-Level,18167.56
Mobile App,88,2,Enterprise,Junior,4010.39
SEO,380,4,Enterprise,Senior,34762.21
SEO,109,2,Enterprise,Mid-Level,5522.13
Data Science,465,4,Startup,Mid-Level,23076.74
UI/UX Design,239,3,Enterprise,Senior,21684.06
Web Development,469,3,Enterprise,Senior,54355.15
UI/UX Design,211,3,Startup,Junior,4446.76
Data Science,473,3,Enterprise,Senior,75886.73
SEO,82,1,Enterprise,Junior,1977.3
UI/UX Design,92,1,Startup,Senior,6256.64
SEO,180,5,Mid-Market,Mid-Level,7674.16
Web Development,188,2,Startup,Junior,3810.86
SEO,108,4,Enterprise,Junior,4340.4
SEO,195,4,Enterprise,Junior,5600.66
Mobile App,288,1,Enterprise,Senior,38649.73
Mobile App,92,4,Startup,Mid-Level,5628.95
Mobile App,264,1,Enterprise,Junior,7726.91
SEO,96,5,Enterprise,Junior,4753.68
Data Science,178,2,Startup,Junior,5337.76
SEO,478,5,Mid-Market,Junior,10544.96
Data Science,343,3,Mid-Market,Mid-Level,27009.91
Data Science,117,3,Enterprise,Senior,14971.26
Mobile App,400,3,Startup,Mid-Level,19876.9
UI/UX Design,121,5,Enterprise,Junior,5115.92
Web Development,151,4,Startup,Mid-Level,7093.93
Mobile App,121,2,Startup,Junior,3424.83
Mobile App,38,3,Mid-Market,Senior,5015.56
UI/UX Design,473,3,Mid-Market,Senior,37580.7
Web Development,101,3,Startup,Senior,7937.6
SEO,416,2,Enterprise,Junior,9798.35
SEO,298,3,Mid-Market,Mid-Level,11702.09
Mobile App,358,2,Enterprise,Senior,40920.45
Web Development,384,3,Mid-Market,Junior,8611.44
Mobile App,350,5,Mid-Market,Junior,10813.63
